job_name,order_id,folder,status,held,deleted,cyclic,startTime,endTime,orderDate,description,application,estimatedStartTime,estimatedEndTime
EBIETLBCORE_EMC_SOHD_SOLN_INC_BASE,4g26k,EBIETLBCORE,Wait User,0,1,0,,,220627,LOAD  DATA TO EMC INC TO BASE TABLES,EBIETLBCORE,6/27/2022 2:39,6/27/2022 2:40
EBIETLBCORE_EMC_SOHD_SOLN_GDW_SRC_LRF,4e6h7,EBIETLBCORE,Wait User,0,0,0,,,220625,TO LOAD DATA FROM GDW SRC TO LRF FILE,EBIETLBCORE,6/25/2022 1:00,6/25/2022 2:28
EBIETLBCORE_FED_LRF_INC,46m5y,EBIETLBCORE,Ended OK,0,0,0,2.02E+13,2.02E+13,220617,TO LOAD DATA FROM COLLECTION SERVER TO LRF FILE TO INC TABLES,EBIETLBCORE,,
EBIETLBCORE_EMC_SOHD_SOLN_GDW_SRC_LRF,4lvee,EBIETLBCORE,Wait User,0,1,0,,,220703,TO LOAD DATA FROM GDW SRC TO LRF FILE,EBIETLBCORE,7/3/2022 1:00,7/3/2022 2:28
EBIETLBCORE_EMC_SOHD_SOLN_GDW_SRC_LRF,4f471,EBIETLBCORE,Wait User,0,1,0,,,220626,TO LOAD DATA FROM GDW SRC TO LRF FILE,EBIETLBCORE,6/26/2022 1:00,6/26/2022 2:28
EBIETLBCORE_EMC_SOHD_SOLN_GDW_SRC_LRF,47k51,EBIETLBCORE,Wait User,0,1,0,,,220618,TO LOAD DATA FROM GDW SRC TO LRF FILE,EBIETLBCORE,6/18/2022 1:00,6/18/2022 2:28
EBIETLBCORE_EMC_SOHD_SOLN_GDW_SRC_LRF,4rqm4,EBIETLBCORE,Wait User,0,1,0,,,220709,TO LOAD DATA FROM GDW SRC TO LRF FILE,EBIETLBCORE,7/9/2022 1:00,7/9/2022 2:28
EBIETLBCORE_EMC_SOHD_SOLN_GDW_SRC_LRF,4d7ip,EBIETLBCORE,Wait User,0,1,0,,,220624,TO LOAD DATA FROM GDW SRC TO LRF FILE,EBIETLBCORE,6/24/2022 1:00,6/24/2022 2:28
EBIETLBCORE_FED_LRF_INC,45lui,EBIETLBCORE,Ended OK,0,0,0,2.02E+13,2.02E+13,220616,TO LOAD DATA FROM COLLECTION SERVER TO LRF FILE TO INC TABLES,EBIETLBCORE,,
EBIETLBCORE_EMC_SOHD_SOLN_GDW_SRC_LRF,48hkk,EBIETLBCORE,Wait User,0,1,0,,,220619,TO LOAD DATA FROM GDW SRC TO LRF FILE,EBIETLBCORE,6/19/2022 1:00,6/19/2022 2:28
EBIETLBCORE_EMC_SOHD_SOLN_GDW_SRC_LRF,4ac3p,EBIETLBCORE,Wait User,0,1,0,,,220621,TO LOAD DATA FROM GDW SRC TO LRF FILE,EBIETLBCORE,6/21/2022 1:00,6/21/2022 2:28
EBIETLBCORE_FED_LRF_INC,49f7v,EBIETLBCORE,Ended OK,0,0,0,2.02E+13,2.02E+13,220620,TO LOAD DATA FROM COLLECTION SERVER TO LRF FILE TO INC TABLES,EBIETLBCORE,,
EBIETLBCORE_FED_LRF_INC,4i26c,EBIETLBCORE,Ended OK,0,0,0,6/29/2022 2:18,6/29/2022 2:21,220629,TO LOAD DATA FROM COLLECTION SERVER TO LRF FILE TO INC TABLES,EBIETLBCORE,,
EBIETLBCORE_EMC_SOHD_SOLN_GDW_SRC_LRF,4pw0m,EBIETLBCORE,Wait User,0,1,0,,,220707,TO LOAD DATA FROM GDW SRC TO LRF FILE,EBIETLBCORE,7/7/2022 1:00,7/7/2022 2:28
EBIETLBCORE_EMC_SOHD_SOLN_GDW_SRC_LRF,4qo9m,EBIETLBCORE,Wait User,0,1,0,,,220708,TO LOAD DATA FROM GDW SRC TO LRF FILE,EBIETLBCORE,7/8/2022 1:00,7/8/2022 2:28
EBIETLBCORE_EMC_SOHD_SOLN_GDW_SRC_LRF,4mue3,EBIETLBCORE,Wait User,0,1,0,,,220704,TO LOAD DATA FROM GDW SRC TO LRF FILE,EBIETLBCORE,7/4/2022 1:00,7/4/2022 2:28
EBIETLBCORE_EMC_SOHD_SOLN_GDW_SRC_LRF,4nskq,EBIETLBCORE,Wait User,0,1,0,,,220705,TO LOAD DATA FROM GDW SRC TO LRF FILE,EBIETLBCORE,7/5/2022 1:00,7/5/2022 2:28
EBIETLBCORE_FED_LRF_INC,4bam8,EBIETLBCORE,Ended OK,0,0,0,6/22/2022 2:20,6/22/2022 2:23,220622,TO LOAD DATA FROM COLLECTION SERVER TO LRF FILE TO INC TABLES,EBIETLBCORE,,
EBIETLBCORE_EMC_SOHD_SOLN_GDW_SRC_LRF,4shnt,EBIETLBCORE,Wait User,0,0,0,,,220710,TO LOAD DATA FROM GDW SRC TO LRF FILE,EBIETLBCORE,7/10/2022 1:00,7/10/2022 2:28
EBIETLBSLS_AFFINITY_SP1_PRD,4oubu,EBIETLBSLS,Ended OK,0,0,0,7/6/2022 2:13,7/6/2022 2:14,220706,HOUSEHOLD ROLLUP,EBIETLBSLS,,
EBIETLBCORE_FED_LRF_INC,4j0m8,EBIETLBCORE,Ended OK,0,0,0,6/30/2022 2:05,6/30/2022 2:07,220630,TO LOAD DATA FROM COLLECTION SERVER TO LRF FILE TO INC TABLES,EBIETLBCORE,,
EBIETLBCORE_EMC_SOHD_SOLN_GDW_SRC_LRF,4h3du,EBIETLBCORE,Wait User,0,1,0,,,220628,TO LOAD DATA FROM GDW SRC TO LRF FILE,EBIETLBCORE,6/28/2022 1:00,6/28/2022 2:28
EBIETLBCORE_FED_LRF_INC,4kxpm,EBIETLBCORE,Ended OK,0,0,0,7/2/2022 3:20,7/2/2022 3:21,220702,TO LOAD DATA FROM COLLECTION SERVER TO LRF FILE TO INC TABLES,EBIETLBCORE,,
EBIETLBCORE_EMC_SOHD_SOLN_GDW_SRC_LRF,4g274,EBIETLBCORE,Wait User,0,1,0,,,220627,TO LOAD DATA FROM GDW SRC TO LRF FILE,EBIETLBCORE,6/27/2022 1:00,6/27/2022 2:28
EBIETLBCORE_EMC_SOHD_SOLN_GDW_SRC_LRF_MD,4e6gm,EBIETLBCORE,Wait User,0,0,0,,,220625,TO LOAD DATA FROM GDW SRC TO LRF FILE,EBIETLBCORE,6/25/2022 13:00,6/25/2022 15:40
EBIETLBCORE_EMC_SOHD_SOLN_GDW_SRC_LRF,46m3t,EBIETLBCORE,Wait User,0,1,0,,,220617,TO LOAD DATA FROM GDW SRC TO LRF FILE,EBIETLBCORE,6/17/2022 1:00,6/17/2022 2:28
EBIETLBCORE_EMC_SOHD_SOLN_GDW_SRC_LRF_MD,4lvdt,EBIETLBCORE,Wait User,0,1,0,,,220703,TO LOAD DATA FROM GDW SRC TO LRF FILE,EBIETLBCORE,7/3/2022 13:00,7/3/2022 15:40
EBIETLBCORE_EMC_SOHD_SOLN_GDW_SRC_LRF_MD,4f46g,EBIETLBCORE,Wait User,0,1,0,,,220626,TO LOAD DATA FROM GDW SRC TO LRF FILE,EBIETLBCORE,6/26/2022 13:00,6/26/2022 15:40
EBIETLBCORE_EMC_SOHD_SOLN_GDW_SRC_LRF_MD,47k4g,EBIETLBCORE,Wait User,0,1,0,,,220618,TO LOAD DATA FROM GDW SRC TO LRF FILE,EBIETLBCORE,6/18/2022 13:00,6/18/2022 15:40
EBIETLBCORE_EMC_SOHD_SOLN_GDW_SRC_LRF_MD,4rqlj,EBIETLBCORE,Wait User,0,1,0,,,220709,TO LOAD DATA FROM GDW SRC TO LRF FILE,EBIETLBCORE,7/9/2022 13:00,7/9/2022 15:40
EBIETLBCORE_EMC_SOHD_SOLN_GDW_SRC_LRF_MD,4d7i4,EBIETLBCORE,Wait User,0,1,0,,,220624,TO LOAD DATA FROM GDW SRC TO LRF FILE,EBIETLBCORE,6/24/2022 13:00,6/24/2022 15:40
EBIETLBCORE_EMC_SOHD_SOLN_GDW_SRC_LRF,45lsd,EBIETLBCORE,Wait User,0,1,0,,,220616,TO LOAD DATA FROM GDW SRC TO LRF FILE,EBIETLBCORE,6/16/2022 1:00,6/16/2022 2:28
EBIETLBCORE_EMC_SOHD_SOLN_GDW_SRC_LRF_MD,48hjz,EBIETLBCORE,Wait User,0,1,0,,,220619,TO LOAD DATA FROM GDW SRC TO LRF FILE,EBIETLBCORE,6/19/2022 13:00,6/19/2022 15:40
EBIETLBCORE_EMC_SOHD_SOLN_GDW_SRC_LRF_MD,4ac34,EBIETLBCORE,Wait User,0,1,0,,,220621,TO LOAD DATA FROM GDW SRC TO LRF FILE,EBIETLBCORE,6/21/2022 13:00,6/21/2022 15:40
EBIETLBCORE_EMC_SOHD_SOLN_GDW_SRC_LRF,49f5q,EBIETLBCORE,Wait User,0,1,0,,,220620,TO LOAD DATA FROM GDW SRC TO LRF FILE,EBIETLBCORE,6/20/2022 1:00,6/20/2022 2:28
EBIETLBCORE_EMC_SOHD_SOLN_GDW_SRC_LRF,4i247,EBIETLBCORE,Wait User,0,1,0,,,220629,TO LOAD DATA FROM GDW SRC TO LRF FILE,EBIETLBCORE,6/29/2022 1:00,6/29/2022 2:28
EBIETLBCORE_FED_LRF_INC,4pw2j,EBIETLBCORE,Ended OK,0,0,0,7/7/2022 2:20,7/7/2022 2:21,220707,TO LOAD DATA FROM COLLECTION SERVER TO LRF FILE TO INC TABLES,EBIETLBCORE,,
EBIETLBCORE_EMC_SOHD_SOLN_GDW_SRC_LRF_MD,4qo91,EBIETLBCORE,Wait User,0,1,0,,,220708,TO LOAD DATA FROM GDW SRC TO LRF FILE,EBIETLBCORE,7/8/2022 13:00,7/8/2022 15:40
EBIETLBCORE_EMC_SOHD_SOLN_GDW_SRC_LRF_MD,4mudi,EBIETLBCORE,Wait User,0,1,0,,,220704,TO LOAD DATA FROM GDW SRC TO LRF FILE,EBIETLBCORE,7/4/2022 13:00,7/4/2022 15:40
EBIETLBCORE_EMC_SOHD_SOLN_GDW_SRC_LRF,4jzce,EBIETLBCORE,Wait User,0,1,0,,,220701,TO LOAD DATA FROM GDW SRC TO LRF FILE,EBIETLBCORE,7/1/2022 1:00,7/1/2022 2:28
EBIETLBCORE_EMC_SOHD_SOLN_GDW_SRC_LRF_MD,4nsk5,EBIETLBCORE,Wait User,0,1,0,,,220705,TO LOAD DATA FROM GDW SRC TO LRF FILE,EBIETLBCORE,7/5/2022 13:00,7/5/2022 15:40
EBIETLBCORE_EMC_SOHD_SOLN_GDW_SRC_LRF,4bak3,EBIETLBCORE,Wait User,0,1,0,,,220622,TO LOAD DATA FROM GDW SRC TO LRF FILE,EBIETLBCORE,6/22/2022 1:00,6/22/2022 2:28
EBIETLBCORE_EMC_SOHD_SOLN_GDW_SRC_LRF_MD,4shnc,EBIETLBCORE,Wait User,0,0,0,,,220710,TO LOAD DATA FROM GDW SRC TO LRF FILE,EBIETLBCORE,7/10/2022 13:00,7/10/2022 15:40
EBIETLBCORE_EMC_SOHD_SOLN_GDW_SRC_LRF,4oqex,EBIETLBCORE,Wait User,0,1,0,,,220706,TO LOAD DATA FROM GDW SRC TO LRF FILE,EBIETLBCORE,7/6/2022 1:00,7/6/2022 2:28
EBIETLBCORE_EMC_SOHD_SOLN_GDW_SRC_LRF,4j0k3,EBIETLBCORE,Wait User,0,1,0,,,220630,TO LOAD DATA FROM GDW SRC TO LRF FILE,EBIETLBCORE,6/30/2022 1:00,6/30/2022 2:28
EBIETLBCORE_EMC_SOHD_SOLN_GDW_SRC_LRF_MD,4h3d9,EBIETLBCORE,Wait User,0,1,0,,,220628,TO LOAD DATA FROM GDW SRC TO LRF FILE,EBIETLBCORE,6/28/2022 13:00,6/28/2022 15:40
EBIETLBCORE_EMC_SOHD_SOLN_GDW_SRC_LRF_MD,4c94q,EBIETLBCORE,Wait User,0,1,0,,,220623,TO LOAD DATA FROM GDW SRC TO LRF FILE,EBIETLBCORE,6/23/2022 13:00,6/23/2022 15:40
EBIETLBCORE_EMC_SOHD_SOLN_GDW_SRC_LRF,4kxnh,EBIETLBCORE,Wait User,0,1,0,,,220702,TO LOAD DATA FROM GDW SRC TO LRF FILE,EBIETLBCORE,7/2/2022 1:00,7/2/2022 2:28
EBIETLBCORE_EMC_SOHD_SOLN_GDW_SRC_LRF_MD,4g26j,EBIETLBCORE,Wait User,0,1,0,,,220627,TO LOAD DATA FROM GDW SRC TO LRF FILE,EBIETLBCORE,6/27/2022 13:00,6/27/2022 15:40
EBIETLBCORE_EMC_SOHD_SOLN_INC_BASE,4e6gn,EBIETLBCORE,Wait User,0,0,0,,,220625,LOAD  DATA TO EMC INC TO BASE TABLES,EBIETLBCORE,6/25/2022 2:39,6/25/2022 2:40
EBIETLBCORE_EMC_SOHD_SOLN_GDW_SRC_LRF_MD,46m38,EBIETLBCORE,Wait User,0,1,0,,,220617,TO LOAD DATA FROM GDW SRC TO LRF FILE,EBIETLBCORE,6/17/2022 13:00,6/17/2022 15:40
EBIETLBCORE_EMC_SOHD_SOLN_INC_BASE,4lvdu,EBIETLBCORE,Wait User,0,1,0,,,220703,LOAD  DATA TO EMC INC TO BASE TABLES,EBIETLBCORE,7/3/2022 2:39,7/3/2022 2:40
EBIETLBCORE_EMC_SOHD_SOLN_INC_BASE,4f46h,EBIETLBCORE,Wait User,0,1,0,,,220626,LOAD  DATA TO EMC INC TO BASE TABLES,EBIETLBCORE,6/26/2022 2:39,6/26/2022 2:40
EBIETLBCORE_EMC_SOHD_SOLN_INC_BASE,47k4h,EBIETLBCORE,Wait User,0,1,0,,,220618,LOAD  DATA TO EMC INC TO BASE TABLES,EBIETLBCORE,6/18/2022 2:39,6/18/2022 2:40
