region,stage,job_name
AMER,Core,EBIETLPCORE_GBLSLSPKG_DRIVER_AMER_OMAR_TD1
AMER,Core,EBIETLPCORE_GBLSLSPKG_AMERINC_TD1
AMER,Core,EBIETLPCORE_GBLSLSPKG_AMER_TD1
AMER,Core,EBIETLPCORE_GBLSLSPKG_CUST_RESTMT_TD1
AMER,Core,EBIETLPCORE_DELL_TO_EMC_LCL_CHNL_CUST_RSTMNT_AMER
AMER,Core,EBIETLBCORE_EMC_SOHD_SOLN_GDW_SRC_LRF
AMER,Core,EBIETLBCORE_FED_LRF_INC
AMER,Core,EBIETLBCORE_EMC_SOHD_SOLN_INC_BASE
AMER,Core,EBIETLPCORE_PKG_EMC_ORD_PKG
AMER,Core,EBIETLPCORE_EMC_LCL_CHNL_RSTMNT
AMER,BMS,EBIETLPSLS_SRA_PW_PO_BAND_AMER_TD1
AMER,BMS,EBIETLPSLS_SRA_PW_PO_BAND_EMC_TD1
AMER,BMS,EBIETLPSLS_OAM_AMER
AMER,BMS,EBIETLPSLS_OAM_EMC
AMER,BMS,EBIETLPSLS_SRA_ORD_ACCT_MAP_AMER_DLY_TD1
AMER,BMS,EBIETLPSLS_SRA_ORD_MAILER_CD_ACCT_TD1
AMER,BMS,EBIETLPSLS_BMS_EMC_PARTNER_CREDIT
AMER,Tier-2,EBI_ETL_DLT_FDM_SO_HDR_DELL_AMER
AMER,Tier-2,EBI_ETL_DLT_FDM_SO_HDR_EMC_MN
AMER,Tier-2,EBI_ETL_DLT_FDM_SOAF_DELL_AMER
AMER,Tier-2,EBI_ETL_DLT_FDM_SOAF_EMC_MN
AMER,Tier-2,EBI_ETL_DLT_FDM_SOIF_DELL_AMER
AMER,Tier-2,EBI_ETL_DLT_FDM_SOIF_EMC_MN
AMER,Tier-2,EBI_ETL_DLT_FDM_ORD_HASH_FULL_EMC_AMER
AMER,Tier-2,EBI_ETL_DLT_FDM_ORD_HASH_FULL_EMC_MN
AMER,Cube,EBI_ETL_DLT_FDM_CUBE_DLY_ORD_AMER
AMER,Cube,EBI_ETL_DLT_FDM_CUBE_AGGR_DLY_ORD_AMER
AMER,Cube,EBI_ETL_DLT_FDM_CUBE_DLY_QTE_INC_AMER
EMEA,Core,EBIETLPCORE_GBLSLSPKG_DRIVER_EMEA_TD1
EMEA,Core,EBIETLPCORE_GBLSLSPKG_INC_EMEA_TD1
EMEA,Core,EBIETLPCORE_DELL_TO_EMC_LCL_CHNL_CUST_RSTMNT_EMEA
EMEA,Core,EBIETLBCORE_EMC_SOHD_SOLN_GDW_SRC_LRF_MD
EMEA,Core,EBIETLBCORE_EMC_SOHD_SOLN_INC_BASE_MD
EMEA,Core,EBIETLPCORE_PKG_EMC_ORD_PKG_MD
